Range [NM],Range [km],Payload [kg],Fuel [kg],Take-off Mass [kg],DOC,ASK,Engine Cost Share,Capital,Crew,Maintenance,Fuel,Payload Handling,Landing Fees,ATC Fees
1290,2389.08,31220.0,3215.750943396226,113267.75094339623,48930907.50050056,0.05416769997587911,0.188,15226246,6843652,6024911,11894584.347339654,901988.800491144,4999263.801370158,3040261.5512996046
1300,2407.6,31220.0,3240.6792452830123,113292.67924528301,48954183.1152761,0.05403098181718319,0.188,15226246,6843652,6016590,11930354.37091074,897095.4623836494,5014297.852060057,3025947.42992165
1310,2426.1200000000003,31220.0,3265.607547169813,113317.60754716981,48977240.598721184,0.053896350973496765,0.188,15226246,6843652,6008347,11965789.148926385,892247.9858576766,5029190.999888521,3011767.4640486026
1320,2444.6400000000003,31220.0,3290.5358490565995,113342.5358490566,49000082.094542496,0.053763759008952444,0.188,15226246,6843652,6000180,12000893.372410826,887445.7291812433,5043945.216481246,2997719.7764691818
1330,2463.1600000000003,31220.0,3315.4641509434005,113367.4641509434,49022712.66949641,0.05363316218590858,0.188,15226246,6843652,5992090,12035671.645274073,882688.0625396178,5058562.436849954,2983802.5248327646
1340,2481.6800000000003,31220.0,3340.392452830187,113392.39245283019,49045133.315166585,0.05350451372879385,0.188,15226246,6843652,5984074,12070128.48632433,877974.3677599633,5073044.560238382,2970013.9008439044
1350,2500.2000000000003,31220.0,3365.3207547169877,113417.32075471699,49067347.94969334,0.053377771451473315,0.188,15226246,6843652,5976132,12104268.331225742,873304.0380435804,5087393.450944935,2956352.129479081
1360,2518.7200000000003,31220.0,3390.249056603774,113442.24905660377,49089359.419454634,0.05325289332376521,0.188,15226246,6843652,5968263,12138095.534401445,868676.4777055033,5101610.9391227225,2942815.4682249585
1370,2537.2400000000002,31220.0,3415.1773584905604,113467.17735849056,49111169.50070188,0.05312983744109466,0.188,15226246,6843652,5960465,12171614.370885441,864091.1019212217,5115698.8215577295,2929402.206337492
1380,2555.76,31220.0,3440.1056603773613,113492.10566037736,49132782.90115078,0.05300856631100217,0.188,15226246,6843652,5952739,12204829.038123492,859547.3364802944,5129658.862425801,2916110.6641211947
1390,2574.28,31220.0,3465.0339622641477,113517.03396226415,49154200.26152887,0.0528890392354593,0.188,15226246,6843652,5945082,12237743.657725196,855044.6175466424,5143492.794029101,2902939.1922279284
1400,2592.8,31220.0,3489.9622641509486,113541.96226415095,49175425.157082,0.0527712198407007,0.188,15226246,6843652,5937494,12270362.277169347,850582.3914253063,5157202.317512714,2889886.170974635
1410,2611.32,31220.0,3514.890566037735,113566.89056603773,49196460.09903954,0.05265507171453862,0.188,15226246,6843652,5929974,12302688.871462703,846160.1143354733,5170789.103561997,2876950.0096793696
1420,2629.84,31220.0,3539.8188679245213,113591.81886792452,49217306.5360411,0.05254055838392967,0.188,15226246,6843652,5922520,12334727.344755156,841777.2521895659,5184254.793081283,2864129.1460151
1430,2648.36,31220.0,3564.7471698113222,113616.74716981132,49237968.855524875,0.052427647552605636,0.188,15226246,6843652,5915133,12366481.531911429,837433.2803782177,5197600.997854521,2851422.0453807064
1440,2666.88,31220.0,3589.6754716981086,113641.67547169811,49258449.38507906,0.052316305716026114,0.188,15226246,6843652,5907812,12397955.200041076,833127.6835609446,5210829.301188397,2838827.200288643
1450,2685.4,31220.0,3614.6037735849095,113666.60377358491,49278748.39375829,0.0522064981564545,0.188,15226246,6843652,5900554,12429152.049988668,828859.9554623388,5223941.258538509,2826343.1297687697
1460,2703.92,31220.0,3639.532075471696,113691.5320754717,49298871.09336455,0.05209819633571485,0.188,15226246,6843652,5893361,12460075.717784032,824629.59867362,5236938.398119064,2813968.378787833
1470,2722.44,31220.0,3664.4603773584968,113716.4603773585,49318817.63969554,0.0519913672579982,0.188,15226246,6843652,5886230,12490729.776055384,820436.1244593731,5249822.22149665,2801701.517684139
1480,2740.96,31220.0,3689.388679245283,113741.38867924528,49338590.13375966,0.051885980867762214,0.188,15226246,6843652,5879160,12521117.735404868,816279.0525693225,5262594.204168534,2789541.1416169447
1490,2759.48,31220.0,3714.3169811320695,113766.31698113207,49358192.622960195,0.051782009996403006,0.188,15226246,6843652,5872152,12551243.045749128,812157.9110549833,5275255.796125961,2777485.8700301247
1500,2778.0,31220.0,3739.2452830188704,113791.24528301887,49377627.102248535,0.051679426124594675,0.188,15226246,6843652,5865205,12581109.097624859,808072.2360910496,5287808.4224029295,2765534.346129694
1510,2796.52,31220.0,3764.1735849056568,113816.17358490566,49396893.515247665,0.05157819938227744,0.188,15226246,6843652,5858316,12610719.2234607,804021.5718013743,5300253.483610835,2753685.2363747484
1520,2815.04,31220.0,3789.1018867924577,113841.10188679246,49415996.75534742,0.05147830584078204,0.188,15226246,6843652,5851487,12640076.69881713,800005.4700893988,5312592.356459443,2741937.229981449
1530,2833.56,31220.0,3814.030188679244,113866.03018867924,49434937.666771136,0.051379718074986674,0.188,15226246,6843652,5844716,12669184.743593998,796023.4904729124,5324826.394264582,2730289.0384396403
1540,2852.08,31220.0,3838.9584905660304,113890.95849056603,49453717.0456158,0.05128240933701758,0.188,15226246,6843652,5838001,12698046.523208128,792075.1999229979,5336956.927442937,2718739.395041742
1550,2870.6000000000004,31220.0,3863.8867924528313,113915.88679245283,49472339.64086566,0.05118635767298616,0.188,15226246,6843652,5831344,12726665.149740702,788160.1727070524,5348985.26399436,2707287.0544235446
1560,2889.1200000000003,31220.0,3888.8150943396176,113940.81509433962,49490805.15538011,0.05109153656484676,0.188,15226246,6843652,5824742,12755043.683055751,784277.9902357613,5360912.689972026,2695930.7921165684
1570,2907.6400000000003,31220.0,3913.7433962264186,113965.74339622642,49509117.24685741,0.05099792423882494,0.188,15226246,6843652,5818196,12783185.131891077,780428.2409138983,5372740.469940806,2684669.404111631
1580,2926.1600000000003,31220.0,3938.671698113205,113990.6716981132,49527276.52877365,0.05090549640600059,0.188,15226246,6843652,5811704,12811092.454921266,776610.5199948613,5384469.8474242035,2673501.7064333213
1590,2944.6800000000003,31220.0,3963.600000000006,114015.6,49545284.571299024,0.05081423038011831,0.188,15226246,6843652,5805265,12838768.561794998,772824.4294388123,5396102.045340183,2662426.5347250337
1600,2963.2000000000003,31220.0,3988.528301886792,114040.52830188679,49563144.90219083,0.05072410607203815,0.188,15226246,6843652,5798880,12866216.31414598,769069.5777743398,5407638.266426212,2651442.7438442945
1610,2981.7200000000003,31220.0,4013.4566037735785,114065.45660377358,49580858.00766495,0.05063510084472371,0.188,15226246,6843652,5792547,12893438.52657958,765345.5799635202,5419079.69365381,2640549.2074680384
1620,3000.2400000000002,31220.0,4038.3849056603794,114090.38490566038,49598426.33324574,0.050547194624975735,0.188,15226246,6843652,5786266,12920437.967634883,761652.0572703017,5430427.490632949,2629744.8177076047
1630,3018.76,31220.0,4063.313207547166,114115.31320754717,49615852.28459487,0.05046036783218871,0.188,15226246,6843652,5780037,12947217.36072311,757988.637132102,5441682.802006539,2619028.484733123
1640,3037.28,31220.0,4088.2415094339667,114140.24150943397,49633136.22832062,0.05037459933345537,0.188,15226246,6843652,5773858,12973779.385043722,754354.9530345297,5452846.753835315,2608399.136407053
1650,3055.8,31220.0,4113.169811320753,114165.16981132075,49650279.49276677,0.05028986948830959,0.188,15226246,6843652,5767728,13000126.676477598,750750.644389151,5463920.453973402,2597855.7179266205
1660,3074.32,31220.0,4138.098113207554,114190.09811320755,49667286.368783236,0.050206162145820826,0.188,15226246,6843652,5761649,13026261.828459362,747175.3564142024,5474904.992434792,2587397.191474878
1670,3092.84,31220.0,4163.02641509434,114215.02641509434,49684156.110477366,0.050123456530058765,0.188,15226246,6843652,5755618,13052187.392828,743628.7400181786,5485801.441751015,2577022.535880168
1680,3111.36,31220.0,4187.954716981127,114239.95471698113,49700890.93594795,0.05004173533207929,0.188,15226246,6843652,5749635,13077905.880657773,740110.4516862044,5496610.8573202295,2566730.746283739
1690,3129.88,31220.0,4212.883018867928,114264.88301886793,49717492.028001286,0.04996098064771994,0.188,15226246,6843652,5743699,13103419.76306886,736620.1533691237,5507334.277747993,2556520.8338153074
1700,3148.4,31220.0,4237.811320754714,114289.81132075471,49733962.53485016,0.04988117698411759,0.188,15226246,6843652,5737811,13128731.472018696,733157.5123752223,5517972.725179924,2546391.825276315
1710,3166.92,31220.0,4262.739622641515,114314.73962264151,49750302.570796765,0.04980230622348166,0.188,15226246,6843652,5731969,13153843.401075069,729722.2012645135,5528527.205626484,2536342.762830701
1720,3185.44,31220.0,4287.667924528301,114339.6679245283,49766514.21689888,0.049724352636250566,0.188,15226246,6843652,5726173,13178757.906170277,726313.8977455222,5538998.709280117,2526372.703702959
1730,3203.96,31220.0,4312.596226415088,114364.59622641509,49782599.52162092,0.04964730085655212,0.188,15226246,6843652,5720423,13203477.306338236,722932.284574485,5549388.210824911,2516480.7198832883
1740,3222.48,31220.0,4337.5245283018885,114389.52452830189,49798558.501469515,0.04957113388088643,0.188,15226246,6843652,5714717,13228003.884433918,719577.0494569186,5559696.669739031,2506665.897839649
1750,3241.0,31220.0,4362.452830188675,114414.45283018867,49814394.14161415,0.049495838044338485,0.188,15226246,6843652,5709056,13252339.887836022,716247.8849514779,5569925.030590115,2496927.3382365284
1760,3259.52,31220.0,4387.381132075476,114439.38113207548,49830107.39649376,0.04942139802431698,0.188,15226246,6843652,5703439,13276487.529133713,712944.4883760442,5580074.223323773,2487264.1556602316
1770,3278.04,31220.0,4412.309433962262,114464.30943396226,49845698.19040885,0.04934779783922614,0.188,15226246,6843652,5697864,13300448.986796886,709666.5617159919,5590145.163545441,2477675.4783505313
1780,3296.56,31220.0,4437.237735849063,114489.23773584906,49861170.41810048,0.04927502578922389,0.188,15226246,6843652,5692333,13324226.405831663,706413.8115345637,5600138.752795749,2468160.447938508
1790,3315.0800000000004,31220.0,4462.166037735849,114514.16603773585,49876523.945315346,0.04920306652011863,0.188,15226246,6843652,5686844,13347821.898420122,703185.9488853045,5610055.87881953,2458718.2191903866
1800,3333.6000000000004,31220.0,4487.094339622636,114539.09433962264,49891760.60935855,0.04913190695843912,0.188,15226246,6843652,5681397,13371237.544546073,699982.6892264998,5619897.41582872,2449347.959757258
1810,3352.1200000000003,31220.0,4512.022641509437,114564.02264150944,49906881.21963344,0.04906153333656912,0.188,15226246,6843652,5675991,13394475.392606163,696803.7523375585,5629664.22475924,2440048.8499304787
1820,3370.6400000000003,31220.0,4536.950943396223,114588.95094339622,49921887.55816906,0.048991933156002046,0.188,15226246,6843652,5670626,13417537.460007062,693648.8622372993,5639357.153522063,2430820.082402632
1830,3389.1600000000003,31220.0,4561.879245283024,114613.87924528302,49936781.380136214,0.04892309419142285,0.188,15226246,6843652,5665302,13440425.733749636,690517.7471040782,5648977.037248607,2421660.8620338966
1840,3407.6800000000003,31220.0,4586.80754716981,114638.80754716981,49951562.414351225,0.04885500252718902,0.188,15226246,6843652,5660017,13463142.170999262,687410.1391977196,5658524.698530579,2412570.405623664
1850,3426.2000000000003,31220.0,4611.735849056597,114663.7358490566,49966233.36376902,0.04878764744856145,0.188,15226246,6843652,5654772,13485688.699644053,684325.7747831973,5668000.947654472,2403547.941687298
1860,3444.7200000000003,31220.0,4636.6641509433975,114688.6641509434,49980794.90596478,0.048721016536163786,0.188,15226246,6843652,5649566,13508067.218840107,681264.3940560205,5677406.582830786,2394592.7102378667
1870,3463.2400000000002,31220.0,4661.592452830184,114713.59245283018,49995248.693604894,0.04865509859501905,0.188,15226246,6843652,5644399,13530279.59954468,678225.7410692858,5686742.390418173,2385703.962572753
1880,3481.76,31220.0,4686.520754716985,114738.52075471698,50009595.35490778,0.04858988169673028,0.188,15226246,6843652,5639270,13552327.685037877,675209.563662341,5696009.145142577,2376880.9610649836
1890,3500.28,31220.0,4711.449056603771,114763.44905660377,50023836.494094044,0.0485253551211007,0.188,15226246,6843652,5634179,13574213.291432265,672215.6133910341,5705207.610311564,2368122.978959188
1900,3518.8,31220.0,4736.377358490572,114788.37735849057,50037972.69182729,0.04846150740512747,0.188,15226246,6843652,5629125,13595938.208171856,669243.6454594912,5714338.538023905,2359429.300172035
1910,3537.32,31220.0,4761.305660377358,114813.30566037736,50052005.50564452,0.048398328278683865,0.188,15226246,6843652,5624108,13617504.198519502,666293.4186533972,5723402.669374564,2350799.2190970634
1920,3555.84,31220.0,4786.233962264145,114838.23396226414,50065936.470378,0.04833580768560429,0.188,15226246,6843652,5619128,13638913.000034273,663364.6952747324,5732400.734655216,2342232.0404137727
1930,3574.36,31220.0,4811.162264150946,114863.16226415095,50079765.098567165,0.048273933850259215,0.188,15226246,6843652,5614183,13660166.32503798,660457.2410779312,5741333.453550386,2333727.0789008723
1940,3592.88,31220.0,4836.090566037732,114888.09056603773,50093494.88086195,0.04821269906177547,0.188,15226246,6843652,5609275,13681265.861071609,657570.8252074288,5750201.535329326,2325283.6592535875
1950,3611.4,31220.0,4861.018867924533,114913.01886792453,50107125.28641749,0.04815209195123441,0.188,15226246,6843652,5604402,13702213.271342266,654705.2201365553,5759005.679033755,2316901.1159049193
1960,3629.92,31220.0,4885.947169811319,114937.94716981132,50120657.76327995,0.04809210327321619,0.188,15226246,6843652,5599564,13723010.195159907,651860.2016077504,5767746.573661545,2308578.7928507514
1970,3648.44,31220.0,4910.87547169812,114962.87547169812,50134093.73876452,0.04803272397002536,0.188,15226246,6843652,5594761,13743658.248365287,649035.5485740587,5776424.8983464595,2300316.0434787134
1980,3666.96,31220.0,4935.803773584907,114987.8037735849,50147433.61982481,0.047973944210292045,0.188,15226246,6843652,5589992,13764159.023748167,646231.0431418797,5785041.32253405,2292112.2304007127
1990,3685.48,31220.0,4960.732075471693,115012.7320754717,50160677.79341495,0.047915754346683305,0.188,15226246,6843652,5585256,13784514.091457179,643446.4705149367,5793596.506153807,2283966.7252890295
2000,3704.0,31220.0,4985.660377358494,115037.6603773585,50173829.62684353,0.04785814777284254,0.188,15226246,6843652,5580555,13804724.999400554,640681.618939436,5802091.099787641,2275878.9087158954
2010,3722.52,31220.0,5010.58867924528,115062.58867924528,50186887.46812009,0.047801113278458936,0.188,15226246,6843652,5575886,13824793.27363842,637936.2796503897,5810525.74483481,2267848.169996474
2020,3741.04,31220.0,5035.516981132081,115087.51698113208,50199854.64629474,0.047744644590533604,0.188,15226246,6843652,5571251,13844720.418767178,635210.2468190667,5818901.073673352,2259873.907035147
2030,3759.5600000000004,31220.0,5060.4452830188675,115112.44528301887,50212729.47178997,0.047688730837626196,0.188,15226246,6843652,5566647,13864507.918295236,632503.3175015537,5827217.709818142,2251955.526175038
2040,3778.0800000000004,31220.0,5085.373584905654,115137.37358490565,50225515.23672612,0.047633366063673355,0.188,15226246,6843652,5562076,13884157.23501143,629815.2915883885,5835476.268075622,2244092.4420506847
2050,3796.6000000000004,31220.0,5110.301886792455,115162.30188679245,50238212.21523973,0.047578541614013654,0.188,15226246,6843652,5557537,13903669.81134539,627145.9717552485,5843677.354695309,2236284.077443787
2060,3815.1200000000003,31220.0,5135.230188679241,115187.23018867924,50250820.66379514,0.04752424898891997,0.188,15226246,6843652,5553029,13923047.069720374,624495.1634146646,5851821.567518148,2228529.8631419595
2070,3833.6400000000003,31220.0,5160.158490566042,115212.15849056604,50263342.821490176,0.04747048172872823,0.188,15226246,6843652,5548553,13942290.412899239,621862.6746687343,5859909.496121793,2220829.23780041
2080,3852.1600000000003,31220.0,5185.086792452828,115237.08679245283,50275777.91035475,0.047417230681561694,0.188,15226246,6843652,5544107,13961401.224322585,619248.3162628139,5867941.721962876,2213181.647806474
2090,3870.6800000000003,31220.0,5210.015094339629,115262.01509433963,50288128.13564414,0.047364489670428125,0.188,15226246,6843652,5539692,13980380.86844067,616651.9015401627,5875918.8185163615,2205586.5471469443
2100,3889.2000000000003,31220.0,5234.943396226416,115286.94339622642,50300393.68612546,0.047312250767671454,0.188,15226246,6843652,5535307,13999230.691037789,614073.2463975202,5883841.351412032,2198043.397278117
2110,3907.7200000000003,31220.0,5259.871698113202,115311.8716981132,50312575.734358944,0.04726050712245445,0.188,15226246,6843652,5530952,14017952.01955068,611512.1692415876,5891709.878568179,2190551.666998499
2120,3926.2400000000002,31220.0,5284.800000000003,115336.8,50324674.43697309,0.04720925107510747,0.188,15226246,6843652,5526626,14036546.16338,608968.490946401,5899524.950322583,2183110.8323241076
2130,3944.76,31220.0,5309.728301886789,115361.72830188679,50336691.9349342,0.047158476970839885,0.188,15226246,6843652,5522330,14055014.414195506,606442.0348115677,5907287.109560819,2175720.376366304
2140,3963.28,31220.0,5334.65660377359,115386.65660377359,50348628.35381085,0.04710817740190565,0.188,15226246,6843652,5518063,14073358.046235433,603932.6265213473,5914996.891841967,2168379.789212099
2150,3981.8,31220.0,5359.5849056603765,115411.58490566038,50360483.80403248,0.047058345085808924,0.188,15226246,6843652,5513824,14091578.316599246,601440.0941045616,5922654.825521796,2161088.567806876
2160,4000.32,31220.0,5384.513207547163,115436.51320754716,50372260.38114335,0.04700897472886785,0.188,15226246,6843652,5509614,14109676.465535106,598964.267895306,5930261.431873465,2153846.215839468
2170,4018.84,31220.0,5409.441509433964,115461.44150943396,50383958.166050956,0.046960059283344534,0.188,15226246,6843652,5505432,14127653.716721166,596504.9804944526,5937817.225205799,2146652.2436295412
2180,4037.36,31220.0,5434.36981132075,115486.36981132075,50395578.22526962,0.0469115927492893,0.188,15226246,6843652,5501278,14145511.277541263,594062.0667319201,5945322.712979208,2139506.168017229
2190,4055.88,31220.0,5459.298113207551,115511.29811320755,50407120.61115946,0.04686356830663938,0.188,15226246,6843652,5497151,14163250.339355499,591635.3636296946,5952778.395919311,2132407.512254957
2200,4074.4,31220.0,5484.226415094337,115536.22641509434,50418587.36216015,0.04681598110414264,0.188,15226246,6843652,5493052,14180872.077764876,589224.7103655849,5960184.768128272,2125355.805901419
2210,4092.92,31220.0,5509.154716981138,115561.15471698114,50429977.50302064,0.046768823608375774,0.188,15226246,6843652,5488979,14198377.652871316,586829.9482376934,5967542.317193975,2118350.5847176504
2220,4111.4400000000005,31220.0,5534.083018867925,115586.08301886792,50441294.045023724,0.04672209210237583,0.188,15226246,6843652,5484934,14215768.209531961,584450.9206295909,5974851.524297018,2111391.3905651495
2230,4129.96,31220.0,5559.011320754711,115611.01132075471,50452535.98620678,0.046675779259517,0.188,15226246,6843652,5480915,14233044.877609,582087.4729761694,5982112.864315612,2104477.7713059974
2240,4148.4800000000005,31220.0,5583.939622641512,115635.93962264151,50463704.311577804,0.04662987970793588,0.188,15226246,6843652,5476922,14250208.772214262,579739.4527301688,5989326.805928438,2097609.2807049355
2250,4167.0,31220.0,5608.867924528298,115660.8679245283,50474799.993327245,0.04658438817126871,0.188,15226246,6843652,5472955,14267260.99394906,577406.7093293568,5996493.811715474,2090785.478333359
2260,4185.52,31220.0,5633.796226415099,115685.7962264151,50485823.99103605,0.04653929946653891,0.188,15226246,6843652,5469014,14284202.629139656,575089.0941643422,6003614.338256884,2084005.9294751685
2270,4204.04,31220.0,5658.724528301886,115710.72452830189,50496776.251879156,0.04649460758135556,0.188,15226246,6843652,5465098,14301034.750067707,572786.4605470197,6010688.836229971,2077270.2050344578
2280,4222.56,31220.0,5683.6528301886865,115735.65283018869,50507658.71082562,0.04645030843629422,0.188,15226246,6843652,5461208,14317758.415196761,570498.6636796178,6017717.750504265,2070577.8814449767
2290,4241.08,31220.0,5708.581132075473,115760.58113207547,50518470.29083432,0.0464063952791787,0.188,15226246,6843652,5457342,14334374.66939385,568225.5606243488,6024701.520234775,2063928.540581347
2300,4259.6,31220.0,5733.509433962259,115785.50943396226,50529213.90304646,0.04636286512194809,0.188,15226246,6843652,5453502,14350884.544147382,565967.0102736376,6031640.578953462,2057321.769671978
2310,4278.12,31220.0,5758.43773584906,115810.43773584906,50539887.44697393,0.04631971046918761,0.188,15226246,6843652,5449685,14367289.057780432,563722.8733209217,6038535.35465893,2050757.1612136483
2320,4296.64,31220.0,5783.3660377358465,115835.36603773585,50550493.810684256,0.04627692849706939,0.188,15226246,6843652,5445893,14383589.215660062,561493.0122320112,6045386.2699044505,2044234.3128877257
2330,4315.16,31220.0,5808.294339622647,115860.29433962265,50561033.87098214,0.046234514624578275,0.188,15226246,6843652,5442126,14399786.01040292,559277.2912169877,6052193.741884268,2037752.8274779697
2340,4333.68,31220.0,5833.222641509434,115885.22264150943,50571506.49358731,0.046192462522189316,0.188,15226246,6843652,5438382,14415880.42207647,557075.5762026424,6058958.182518296,2031312.3127899012
2350,4352.2,31220.0,5858.15094339622,115910.15094339622,50581912.53330929,0.046150767769910415,0.188,15226246,6843652,5434661,14431873.41839695,554887.7348054317,6065679.998535209,2024912.381571696
2360,4370.72,31220.0,5883.079245283021,115935.07924528302,50592253.834218636,0.04610942693405762,0.188,15226246,6843652,5430964,14447765.954923173,552713.6363049418,6072359.591553958,2018552.6514365608
2370,4389.24,31220.0,5908.007547169807,115960.00754716981,50602530.22981499,0.046068434829505185,0.188,15226246,6843652,5427290,14463558.975246795,550553.1516178558,6078997.35816376,2012232.7447865792
2380,4407.76,31220.0,5932.935849056608,115984.93584905661,50612742.54319226,0.04602778725632986,0.188,15226246,6843652,5423639,14479253.411179284,548406.1532724029,6085593.690002601,2005952.2887379758
2390,4426.280000000001,31220.0,5957.864150943395,116009.8641509434,50622891.58720022,0.045987480084899966,0.188,15226246,6843652,5420011,14494850.182934912,546272.5153832894,6092148.973834244,1999710.9150477743
2400,4444.8,31220.0,5982.792452830181,116034.79245283018,50632977.16460364,0.045947508346948905,0.188,15226246,6843652,5416405,14510350.199310875,544152.1136270931,6098663.591623842,1993508.260041832
2410,4463.320000000001,31220.0,6007.720754716982,116059.72075471698,50643001.06823811,0.04590786895845828,0.188,15226246,6843652,5412822,14525754.35786368,542044.8252181156,6105137.920612121,1987343.9645441917
2420,4481.84,31220.0,6032.649056603768,116084.64905660377,50652962.08116296,0.04586855618091484,0.188,15226246,6843652,5409260,14541063.545082325,539950.5288846816,6111572.333388197,1981217.6738077588
2430,4500.360000000001,31220.0,6057.577358490569,116109.57735849057,50662862.97681174,0.04582956796642211,0.188,15226246,6843652,5405721,14556278.63655857,537869.1048458732,6117967.197961052,1975129.0374462407
2440,4518.88,31220.0,6082.5056603773555,116134.50566037736,50672702.51913938,0.045790898708163934,0.188,15226246,6843652,5402203,14571400.497153634,535800.434788695,6124322.877829701,1969077.7093673493
2450,4537.400000000001,31220.0,6107.433962264156,116159.43396226416,50682482.46276726,0.045752545576992786,0.188,15226246,6843652,5398707,14586429.981162315,533744.4018456539,6130639.732052066,1963063.347707221
2460,4555.92,31220.0,6132.362264150943,116184.36226415094,50692202.55312498,0.04571450399713681,0.188,15226246,6843652,5395232,14601367.932473602,531700.8905727527,6136918.115312588,1957085.614766036
2470,4574.4400000000005,31220.0,6157.290566037729,116209.29056603773,50701863.526590206,0.04567677035687534,0.188,15226246,6843652,5391778,14616215.184728881,529669.7869278811,6143158.377988629,1951144.176944813
2480,4592.96,31220.0,6182.21886792453,116234.21886792453,50711466.11062549,0.04563934110274124,0.188,15226246,6843652,5388345,14630972.561476907,527650.9782496004,6149360.866215633,1945238.7046833488
2490,4611.4800000000005,31220.0,6207.147169811316,116259.14716981132,50721010.02391268,0.045602211839271795,0.188,15226246,6843652,5384932,14645640.876325952,525644.3532363132,6155525.9219511375,1939368.8723992803
2500,4630.0,31220.0,6232.075471698117,116284.07547169812,50730497.976485305,0.04556538092507867,0.188,15226246,6843652,5381541,14660220.933093624,523649.80192580755,6161653.883037624,1933534.3584282543
2510,4648.52,31220.0,6257.003773584904,116309.0037735849,50739927.66985792,0.045528842279971476,0.188,15226246,6843652,5378169,14674713.525953364,521667.2156751706,6167745.08326422,1927734.8449651606
2520,4667.04,31220.0,6281.932075471705,116333.9320754717,50749301.79715378,0.04549259437019302,0.188,15226246,6843652,5374818,14689119.439578975,519696.48714106076,6173799.852427312,1921970.018006435
2530,4685.56,31220.0,6306.860377358491,116358.86037735849,50758620.04322971,0.045456633020960806,0.188,15226246,6843652,5371487,14703439.449285926,517737.5102603354,6179818.516390068,1916239.5672933804
2540,4704.08,31220.0,6331.788679245277,116383.78867924528,50767882.08479916,0.045420954112598604,0.188,15226246,6843652,5368175,14717674.321170723,515790.18023102207,6185801.397140903,1910543.18625651
2550,4722.6,31220.0,6356.716981132078,116408.71698113208,50777089.59055281,0.04538555536709494,0.188,15226246,6843652,5364883,14731824.81224741,513854.3934936287,6191748.812850895,1904880.5719608734
2560,4741.12,31220.0,6381.645283018865,116433.64528301886,50786243.22127697,0.04535043365962064,0.188,15226246,6843652,5361611,14745891.670581646,511930.0477127853,6197661.077930183,1899251.4250523534
